Designator,Footprint,Quantity,Value,LCSC Part #
BT201,PinHeader_1x02_P1.00mm_Vertical,1,Battery_Cell,
C204,0402,1,220nF,
"C205, C216, C217, C219, C237, C419, C507, C509, C515",0402,9,1uF,
"C211, C212, C213, C214, C215, C222, C233, C234, C236, C422, C425, C805",0603,12,10uF,
"C218, C220, C221, C223, C224, C225, C226, C235, C508",0402,9,4.7uF,
"C227, C228, C229, C230",0603,4,22uF,
C232,0402,1,47nF,
C238,0402,1,8.2uF,
"C402, C403, C420, C421, C423, C424, C426, C427, C428, C429, C430, C502, C503, C504, C510, C511, C512, C513, C514, C802, C804",0402,21,100nF,
"C505, C506",0402,2,2.2uF,
C803,0402,1,100pF,
D801,DIODE_ESDA7P120-1U1M_STM,1,ESDA7P120-1U1M,
J501,GCT_MEM2090-00-145-00-A_REVA,1,MEM2090-00-145-00-A_REVA,
J801,GCT_USB4215-03-A_REVA,1,USB4215-03-A_REVA,
"L202, L203, L204, L205, L206",1008,5,1uH,
Q1,TRANS_STL9P3LLH6,1,STL9P3LLH6,
"R201, R202, R219, R404",0402,4,10k,
"R209, R210",0402,2,1k,
R212,0603,1,10m,
"R215, R512, R513",0402,3,0,
R216,0402,1,5k25,
R217,0402,1,31k23,
R218,0402,1,317,
R402,0402,1,240,
R403,0402,1,100,
"R406, R407, R408, R409, R410, R411, R412, R413, R414, R415, R416, R417, R418, R419, R420, R421, R422, R423, R424, R425, R426, R427, R428, R429, R430",0402,25,56,
R501,0402,1,22,
"R502, R503, R504, R505, R506, R507, R508, R509, R510, R511",0402,10,47k,
TH201,PinHeader_1x02_P1.00mm_Vertical,1,Thermistor,
"TP203, TP802",TP_0.5mm,2,TestPoint,
U1,FBGA100_ISI,1,IS21ES08GA-JQLI-TR,
U201,SON50P300X200X60-10N,1,STC3115IQT,
U203,QFN40P600X500X80-45N,1,STPMIC1APQR,
U3,BQ24298,1,BQ24298RTWR,
U301,ST_LFBGA-354_16x16mm_Layout19x19_P0.8mm,1,STM32MP157FABx,
U401,BGA96C80P9X16_1400X800X120,1,MT41K256M16TW-107_P,
"U502, U503, U802",IC_HSP051-4M10,3,HSP051-4M10,
U801,MLP14_2P5X2P5_ONS,1,FUSB302BMPX,
U901,XCVR_LBEE5PK2AE-771,1,LBEE5PK2AE-771,
