Designator,Mid X,Mid Y,Rotation,Layer
BT201,70.2,-86.9,270.0,top
C204,75.3,-86.9,270.0,top
C205,73.3,-86.9,90.0,top
C211,110.6,-84.6,180.0,top
C212,110.1,-79.7,270.0,top
C213,100.3,-85.7,0.0,top
C214,100.1,-81.5,0.0,top
C215,108.6,-79.15,270.0,top
C216,101.4,-79.675,270.0,top
C217,104.1,-79.675,270.0,top
C218,103.8725,-89.61,90.0,top
C219,105.9,-79.675,270.0,top
C220,100.425,-79.675,270.0,top
C221,105.0,-79.675,270.0,top
C222,107.1,-79.15,90.0,top
C223,104.8725,-89.61,90.0,top
C224,103.2,-79.675,270.0,top
C225,102.3,-79.675,270.0,top
C226,105.7725,-89.61,90.0,top
C227,112.5,-87.475,270.0,top
C228,112.25,-79.725,270.0,top
C229,97.1,-86.4,270.0,top
C230,97.1,-82.2,270.0,top
C232,80.63,-81.5,90.0,top
C233,84.42,-84.0,270.0,top
C234,82.9,-84.0,270.0,top
C235,79.34,-81.5,270.0,top
C236,82.9,-87.01,90.0,top
C237,76.71,-82.4,270.0,top
C238,78.37,-81.5,270.0,top
C402,99.0,-74.5,0.0,top
C403,101.8,-64.3,180.0,bottom
C419,112.08,-60.19,180.0,top
C420,102.0,-74.5,180.0,top
C421,105.4,-64.3,180.0,bottom
C422,94.9,-62.0,0.0,bottom
C423,107.22,-64.3,180.0,bottom
C424,97.2,-74.5,0.0,top
C425,106.4,-75.8,180.0,top
C426,95.4,-74.5,0.0,top
C427,106.0,-72.2,270.0,bottom
C428,103.6,-64.3,0.0,bottom
C429,95.5,-63.3,0.0,bottom
C430,106.1,-74.5,180.0,top
C502,76.83,-47.32,90.0,bottom
C503,77.85,-48.31,90.0,bottom
C504,76.33,-52.74,0.0,bottom
C505,79.77,-48.33,270.0,bottom
C506,77.91,-51.33,90.0,bottom
C507,80.86,-53.32,270.0,bottom
C508,116.3,-45.987,90.0,top
C509,76.85,-45.41,90.0,bottom
C510,83.86,-48.04,0.0,bottom
C511,75.8,-48.35,90.0,bottom
C512,81.89,-48.26,90.0,bottom
C513,81.49,-55.94,0.0,bottom
C514,76.33,-56.0,180.0,bottom
C515,95.02,-78.6,180.0,top
C802,96.52,-79.2,270.0,top
C803,84.1,-89.6,270.0,top
C804,83.1,-89.6,90.0,top
C805,83.8,-87.0,270.0,top
D801,86.6982,-81.91,180.0,top
J501,113.46,-51.33,270.0,bottom
J801,91.0,-89.1,0.0,top
L202,110.4,-87.3,270.0,top
L203,111.075,-82.55,0.0,top
L204,99.775,-87.775,180.0,top
L205,99.775,-83.6,180.0,top
L206,83.13,-80.9,0.0,top
Q1,2.65,-2.03,0.0,top
R201,74.3,-80.8,0.0,top
R202,74.31,-81.8,0.0,top
R209,72.3,-87.4,270.0,top
R210,74.3,-86.9,270.0,top
R212,70.1,-84.0,90.0,top
R215,107.825,-89.6,270.0,top
R216,81.63,-88.2,270.0,top
R217,80.69,-88.2,90.0,top
R218,79.73,-88.19,90.0,top
R219,77.82,-87.84,180.0,top
R402,100.4,-75.0,270.0,top
R403,101.7,-69.6,0.0,bottom
R404,98.275,-74.0,270.0,bottom
R406,107.1,-61.64,270.0,bottom
R407,102.175,-75.0,270.0,bottom
R408,108.21,-61.64,270.0,bottom
R409,109.49,-61.44,270.0,bottom
R410,96.35,-75.0,270.0,bottom
R411,110.68,-63.67,270.0,bottom
R412,95.365,-75.01,270.0,bottom
R413,105.75,-61.76,270.0,bottom
R414,94.375,-75.0,270.0,bottom
R415,110.14,-65.91,270.0,bottom
R416,103.175,-75.0,270.0,bottom
R417,101.175,-75.01,270.0,bottom
R418,104.15,-74.99,270.0,bottom
R419,110.44,-70.44,270.0,bottom
R420,97.3,-75.0,270.0,bottom
R421,110.38,-68.23,270.0,bottom
R422,100.2,-75.035,270.0,bottom
R423,103.36,-61.8,270.0,bottom
R424,104.63,-61.76,270.0,bottom
R425,98.02,-61.71,270.0,bottom
R426,99.225,-75.025,270.0,bottom
R427,99.33,-61.79,270.0,bottom
R428,100.6,-61.74,270.0,bottom
R429,102.1,-61.76,270.0,bottom
R430,105.15,-74.99,270.0,bottom
R501,79.36,-57.56,270.0,bottom
R502,84.03,-54.75,270.0,bottom
R503,85.0,-52.13,90.0,bottom
R504,84.05,-52.7,90.0,bottom
R505,85.03,-54.27,270.0,bottom
R506,73.21,-43.04,0.0,bottom
R507,73.21,-45.03,0.0,bottom
R508,73.21,-47.02,0.0,bottom
R509,73.24,-48.27,180.0,bottom
R510,72.48,-58.21,270.0,bottom
R511,76.12,-43.04,0.0,bottom
R513,109.3,-47.067,90.0,top
TH201,70.2,-89.2,270.0,top
U1,78.859993,-50.33999,0.0,top
U201,72.8,-84.04,270.0,top
U203,105.3,-84.91,180.0,top
U3,79.69,-84.92,0.0,top
U301,80.0,-69.0,0.0,top
U401,101.2,-68.9,270.0,top
U502,109.19,-50.167,90.0,top
U503,109.31,-53.567,90.0,top
U801,94.462,-81.5578,180.0,top
U802,91.0,-82.29,0.0,top
U901,91.84,-48.98,0.0,top
